Chat ID,Chat Start Time,Chat Start Day,Chat End Time,Chat Length,Messages to Bot,Bot Responses (Low Confidence),Bot Responses (No Confidence)
23154675,"October 31, 2023 2:57 PM",2,"October 31, 2023 2:57 PM",,,,
23154599,"October 31, 2023 2:55 PM",2,"October 31, 2023 3:01 PM",345,1,,
23154365,"October 31, 2023 2:49 PM",2,"October 31, 2023 2:53 PM",280,4,,
23154049,"October 31, 2023 2:41 PM",2,"October 31, 2023 2:41 PM",,,,
23154041,"October 31, 2023 2:41 PM",2,"October 31, 2023 2:41 PM",,,,
23153801,"October 31, 2023 2:34 PM",2,"October 31, 2023 2:35 PM",107,3,1,
23153505,"October 31, 2023 2:26 PM",2,"October 31, 2023 2:26 PM",,,,
23152657,"October 31, 2023 2:04 PM",2,"October 31, 2023 2:04 PM",,,,
23151251,"October 31, 2023 1:26 PM",2,"October 31, 2023 1:44 PM",1031,3,,1
23150021,"October 31, 2023 12:55 PM",2,"October 31, 2023 12:55 PM",,,,
23149937,"October 31, 2023 12:53 PM",2,"October 31, 2023 12:53 PM",,,,
23148442,"October 31, 2023 12:16 PM",2,"October 31, 2023 12:19 PM",190,1,,
23148032,"October 31, 2023 12:05 PM",2,"October 31, 2023 12:06 PM",39,1,,
23147403,"October 31, 2023 11:49 AM",2,"October 31, 2023 12:18 PM",1792,1,,
23146810,"October 31, 2023 11:34 AM",2,"October 31, 2023 12:05 PM",1838,1,,
23146584,"October 31, 2023 11:28 AM",2,"October 31, 2023 11:42 AM",807,2,,
23146101,"October 31, 2023 11:16 AM",2,"October 31, 2023 11:17 AM",24,1,,
23145918,"October 31, 2023 11:11 AM",2,"October 31, 2023 11:12 AM",17,,,
23145844,"October 31, 2023 11:09 AM",2,"October 31, 2023 11:39 AM",1795,3,1,1
23145786,"October 31, 2023 11:08 AM",2,"October 31, 2023 11:08 AM",,,,
23145249,"October 31, 2023 10:53 AM",2,"October 31, 2023 10:53 AM",,,,
23145169,"October 31, 2023 10:51 AM",2,"October 31, 2023 10:51 AM",37,,,
23144987,"October 31, 2023 10:46 AM",2,"October 31, 2023 10:46 AM",45,,,
23144868,"October 31, 2023 10:42 AM",2,"October 31, 2023 10:42 AM",,,,
23144848,"October 31, 2023 10:42 AM",2,"October 31, 2023 10:42 AM",13,,,
23144564,"October 31, 2023 10:34 AM",2,"October 31, 2023 10:34 AM",,,,
23143741,"October 31, 2023 10:10 AM",2,"October 31, 2023 10:25 AM",908,,,
23143626,"October 31, 2023 10:06 AM",2,"October 31, 2023 10:07 AM",69,1,,1
23143497,"October 31, 2023 10:02 AM",2,"October 31, 2023 10:03 AM",40,1,,
23143373,"October 31, 2023 9:58 AM",2,"October 31, 2023 10:23 AM",1507,1,,
23143365,"October 31, 2023 9:58 AM",2,"October 31, 2023 10:30 AM",1927,1,,1
23142926,"October 31, 2023 9:42 AM",2,"October 31, 2023 9:48 AM",364,4,,
23142820,"October 31, 2023 9:38 AM",2,"October 31, 2023 9:39 AM",31,1,1,
23142805,"October 31, 2023 9:38 AM",2,"October 31, 2023 9:43 AM",312,1,,
23142793,"October 31, 2023 9:38 AM",2,"October 31, 2023 9:50 AM",707,2,,1
23142445,"October 31, 2023 9:24 AM",2,"October 31, 2023 9:57 AM",2000,1,,1
23142376,"October 31, 2023 9:21 AM",2,"October 31, 2023 9:22 AM",56,,,
23141984,"October 31, 2023 9:06 AM",2,"October 31, 2023 9:07 AM",37,,,
23141415,"October 31, 2023 8:41 AM",2,"October 31, 2023 9:11 AM",1793,1,,
23141399,"October 31, 2023 8:40 AM",2,"October 31, 2023 9:21 AM",2421,,,
23141132,"October 31, 2023 8:26 AM",2,"October 31, 2023 8:26 AM",,,,
23140916,"October 31, 2023 8:13 AM",2,"October 31, 2023 8:18 AM",301,3,,
23140529,"October 31, 2023 7:47 AM",2,"October 31, 2023 10:27 AM",9585,6,,
23140400,"October 31, 2023 7:38 AM",2,"October 31, 2023 7:39 AM",57,1,,
23139474,"October 31, 2023 6:25 AM",2,"October 31, 2023 6:25 AM",,,,
23136052,"October 31, 2023 12:39 AM",1,"October 31, 2023 12:39 AM",,,,
23135909,"October 31, 2023 12:29 AM",1,"October 31, 2023 12:29 AM",,,,
23135905,"October 31, 2023 12:28 AM",1,"October 31, 2023 12:44 AM",929,3,,
23134393,"October 30, 2023 11:02 PM",1,"October 30, 2023 11:02 PM",22,1,,
23132581,"October 30, 2023 9:38 PM",1,"October 30, 2023 9:39 PM",32,,,
23130501,"October 30, 2023 8:13 PM",1,"October 30, 2023 8:15 PM",69,,,
23130329,"October 30, 2023 8:07 PM",1,"October 30, 2023 8:07 PM",,,,
23129553,"October 30, 2023 7:39 PM",1,"October 30, 2023 7:39 PM",31,,,
23128773,"October 30, 2023 7:07 PM",1,"October 30, 2023 7:08 PM",115,,,
23128166,"October 30, 2023 6:44 PM",1,"October 30, 2023 6:44 PM",,,,
23127892,"October 30, 2023 6:34 PM",1,"October 30, 2023 6:34 PM",,,,
23127405,"October 30, 2023 6:17 PM",1,"October 30, 2023 6:17 PM",,,,
23127393,"October 30, 2023 6:17 PM",1,"October 30, 2023 6:20 PM",188,1,,
23127327,"October 30, 2023 6:35 PM",1,"October 30, 2023 6:36 PM",60,,,
23127121,"October 30, 2023 6:07 PM",1,"October 30, 2023 6:07 PM",,,,
23125498,"October 30, 2023 5:14 PM",1,"October 30, 2023 5:15 PM",88,1,,
23124994,"October 30, 2023 4:58 PM",1,"October 30, 2023 4:58 PM",,,,
23124688,"October 30, 2023 4:49 PM",1,"October 30, 2023 4:49 PM",,,,
23124584,"October 30, 2023 4:46 PM",1,"October 30, 2023 4:47 PM",72,1,,1
23124185,"October 30, 2023 4:36 PM",1,"October 30, 2023 5:39 PM",3742,1,,1
23123591,"October 30, 2023 4:19 PM",1,"October 30, 2023 4:45 PM",1514,1,,
23123587,"October 30, 2023 4:19 PM",1,"October 30, 2023 4:40 PM",1230,1,,1
23123319,"October 30, 2023 4:12 PM",1,"October 30, 2023 4:12 PM",,,,
23123029,"October 30, 2023 4:04 PM",1,"October 30, 2023 4:07 PM",197,2,1,
23122998,"October 30, 2023 4:03 PM",1,"October 30, 2023 5:26 PM",4993,2,,
23121798,"October 30, 2023 3:33 PM",1,"October 30, 2023 4:00 PM",1585,,,
23121753,"October 30, 2023 3:32 PM",1,"October 30, 2023 3:32 PM",,,,
23121320,"October 30, 2023 3:21 PM",1,"October 30, 2023 3:27 PM",337,2,,
23121146,"October 30, 2023 3:16 PM",1,"October 30, 2023 3:32 PM",933,2,,
23119845,"October 30, 2023 2:44 PM",1,"October 30, 2023 2:44 PM",,,,
23119532,"October 30, 2023 2:37 PM",1,"October 30, 2023 2:37 PM",,,,
23119453,"October 30, 2023 2:35 PM",1,"October 30, 2023 2:37 PM",91,2,1,
23119088,"October 30, 2023 2:27 PM",1,"October 30, 2023 2:36 PM",564,2,1,1
23118079,"October 30, 2023 2:05 PM",1,"October 30, 2023 2:07 PM",86,,,
23117499,"October 30, 2023 1:50 PM",1,"October 30, 2023 1:50 PM",,,,
23117303,"October 30, 2023 1:46 PM",1,"October 30, 2023 1:47 PM",20,,,
23117277,"October 30, 2023 1:46 PM",1,"October 30, 2023 1:53 PM",444,1,,1
23117102,"October 30, 2023 1:41 PM",1,"October 30, 2023 2:04 PM",1354,1,,
23117089,"October 30, 2023 1:41 PM",1,"October 30, 2023 1:41 PM",,,,
23117062,"October 30, 2023 1:40 PM",1,"October 30, 2023 1:40 PM",12,,,
23116666,"October 30, 2023 1:32 PM",1,"October 30, 2023 1:46 PM",837,1,,1
23115382,"October 30, 2023 1:08 PM",1,"October 30, 2023 1:08 PM",,,,
23115311,"October 30, 2023 1:01 PM",1,"October 30, 2023 1:30 PM",1729,1,,
23113071,"October 30, 2023 12:09 PM",1,"October 30, 2023 12:09 PM",14,,,
23112305,"October 30, 2023 11:50 AM",1,"October 30, 2023 12:14 PM",1399,1,,
23111962,"October 30, 2023 11:42 AM",1,"October 30, 2023 11:54 AM",738,1,,
23111791,"October 30, 2023 11:38 AM",1,"October 30, 2023 11:38 AM",,,,
23111560,"October 30, 2023 11:32 AM",1,"October 30, 2023 11:33 AM",42,1,,
23111197,"October 30, 2023 11:24 AM",1,"October 30, 2023 11:48 AM",1430,2,,
23110811,"October 30, 2023 11:14 AM",1,"October 30, 2023 11:32 AM",1053,1,,1
23110345,"October 30, 2023 11:02 AM",1,"October 30, 2023 11:22 AM",1161,,,
23110309,"October 30, 2023 11:02 AM",1,"October 30, 2023 11:02 AM",,,,
23110211,"October 30, 2023 10:59 AM",1,"October 30, 2023 11:22 AM",1358,1,,
23110196,"October 30, 2023 10:59 AM",1,"October 30, 2023 11:11 AM",765,1,,1
23110145,"October 30, 2023 10:58 AM",1,"October 30, 2023 10:58 AM",,,,
23110001,"October 30, 2023 10:54 AM",1,"October 30, 2023 11:24 AM",1782,1,,
23109763,"October 30, 2023 10:48 AM",1,"October 30, 2023 11:06 AM",1098,1,,1
23109753,"October 30, 2023 10:47 AM",1,"October 30, 2023 10:48 AM",20,,,
23109592,"October 30, 2023 10:43 AM",1,"October 30, 2023 10:43 AM",,,,
23109570,"October 30, 2023 10:43 AM",1,"October 30, 2023 10:59 AM",997,1,,1
23109183,"October 30, 2023 10:36 AM",1,"October 30, 2023 10:36 AM",,,,
23109047,"October 30, 2023 10:28 AM",1,"October 30, 2023 10:28 AM",,,,
23109025,"October 30, 2023 10:28 AM",1,"October 30, 2023 10:28 AM",43,1,,1
23108736,"October 30, 2023 10:20 AM",1,"October 30, 2023 10:20 AM",,,,
23108182,"October 30, 2023 10:05 AM",1,"October 30, 2023 10:08 AM",204,1,,
23107838,"October 30, 2023 9:54 AM",1,"October 30, 2023 10:12 AM",1071,2,,1
23107757,"October 30, 2023 9:52 AM",1,"October 30, 2023 9:53 AM",54,1,,
23107416,"October 30, 2023 9:40 AM",1,"October 30, 2023 9:46 AM",346,2,,1
23107398,"October 30, 2023 9:40 AM",1,"October 30, 2023 9:41 AM",52,1,1,
23106577,"October 30, 2023 9:11 AM",1,"October 30, 2023 9:11 AM",,,,
23106249,"October 30, 2023 8:59 AM",1,"October 30, 2023 9:12 AM",781,1,,
23106156,"October 30, 2023 8:55 AM",1,"October 30, 2023 9:28 AM",2010,1,,
23105916,"October 30, 2023 8:44 AM",1,"October 30, 2023 8:44 AM",,,,
23105872,"October 30, 2023 8:41 AM",1,"October 30, 2023 8:57 AM",952,3,,1
23105419,"October 30, 2023 8:16 AM",1,"October 30, 2023 8:17 AM",48,,,
23102827,"October 30, 2023 4:12 AM",1,"October 30, 2023 4:12 AM",,,,
23099447,"October 29, 2023 11:18 PM",,"October 29, 2023 11:19 PM",38,1,,
23099099,"October 29, 2023 10:57 PM",,"October 29, 2023 10:58 PM",95,4,,2
23098512,"October 29, 2023 10:22 PM",,"October 29, 2023 10:22 PM",,,,
23097782,"October 29, 2023 9:44 PM",,"October 29, 2023 9:44 PM",,,,
23097524,"October 29, 2023 9:32 PM",,"October 29, 2023 9:33 PM",26,,,
23096346,"October 29, 2023 8:33 PM",,"October 29, 2023 8:34 PM",38,2,,2
23094609,"October 29, 2023 7:02 PM",,"October 29, 2023 7:03 PM",61,1,,
23092399,"October 29, 2023 5:02 PM",,"October 29, 2023 5:02 PM",,,,
23091394,"October 29, 2023 4:09 PM",,"October 29, 2023 4:09 PM",,,,
23091349,"October 29, 2023 4:06 PM",,"October 29, 2023 4:06 PM",,,,
23090891,"October 29, 2023 3:42 PM",,"October 29, 2023 3:47 PM",291,3,,
23090659,"October 29, 2023 3:30 PM",,"October 29, 2023 3:35 PM",296,2,,
23090409,"October 29, 2023 3:18 PM",,"October 29, 2023 3:18 PM",,,,
23089847,"October 29, 2023 2:48 PM",,"October 29, 2023 2:48 PM",,,,
23089411,"October 29, 2023 2:24 PM",,"October 29, 2023 2:25 PM",39,,,
23088793,"October 29, 2023 1:58 PM",,"October 29, 2023 1:58 PM",,,,
23087506,"October 29, 2023 12:31 PM",,"October 29, 2023 12:35 PM",232,1,,1
23087449,"October 29, 2023 12:27 PM",,"October 29, 2023 12:31 PM",219,1,,1
23086434,"October 29, 2023 11:23 AM",,"October 29, 2023 11:23 AM",,,,
23084641,"October 29, 2023 8:57 AM",,"October 29, 2023 9:04 AM",395,3,,1
23081336,"October 29, 2023 2:16 AM",,"October 29, 2023 2:16 AM",,,,
23079846,"October 28, 2023 11:51 PM",6,"October 28, 2023 11:51 PM",,,,
23076693,"October 28, 2023 7:43 PM",6,"October 28, 2023 7:43 PM",,,,
23074412,"October 28, 2023 5:06 PM",6,"October 28, 2023 5:07 PM",51,1,,1
23072717,"October 28, 2023 3:15 PM",6,"October 28, 2023 3:15 PM",,,,
23072170,"October 28, 2023 2:39 PM",6,"October 28, 2023 2:39 PM",,,,
23070914,"October 28, 2023 1:22 PM",6,"October 28, 2023 1:22 PM",,,,
23068745,"October 28, 2023 11:05 AM",6,"October 28, 2023 11:06 AM",45,,,
23067958,"October 28, 2023 10:08 AM",6,"October 28, 2023 10:09 AM",44,1,,1
23067848,"October 28, 2023 10:00 AM",6,"October 28, 2023 10:00 AM",30,,,
23067546,"October 28, 2023 9:34 AM",6,"October 28, 2023 9:34 AM",,,,
23065716,"October 28, 2023 6:22 AM",6,"October 28, 2023 6:22 AM",,,,
23062173,"October 28, 2023 12:02 AM",5,"October 28, 2023 12:02 AM",,,,
23062163,"October 28, 2023 12:01 AM",5,"October 28, 2023 12:01 AM",,,,
23061307,"October 27, 2023 10:53 PM",5,"October 27, 2023 10:53 PM",,,,
23059091,"October 27, 2023 8:14 PM",5,"October 27, 2023 8:14 PM",,,,
23057628,"October 27, 2023 6:41 PM",5,"October 27, 2023 6:41 PM",,,,
23057591,"October 27, 2023 6:39 PM",5,"October 27, 2023 6:39 PM",39,1,,
23056598,"October 27, 2023 5:43 PM",5,"October 27, 2023 5:44 PM",56,2,,
23055299,"October 27, 2023 4:40 PM",5,"October 27, 2023 4:40 PM",,,,
23054975,"October 27, 2023 4:26 PM",5,"October 27, 2023 4:32 PM",355,,,
23054348,"October 27, 2023 4:02 PM",5,"October 27, 2023 4:02 PM",,,,
23054064,"October 27, 2023 3:51 PM",5,"October 27, 2023 3:51 PM",29,1,,1
23052156,"October 27, 2023 2:44 PM",5,"October 27, 2023 2:44 PM",,,,
23052112,"October 27, 2023 2:43 PM",5,"October 27, 2023 2:43 PM",,,,
23051851,"October 27, 2023 2:43 PM",5,"October 27, 2023 2:43 PM",,,,
23051833,"October 27, 2023 2:33 PM",5,"October 27, 2023 2:33 PM",,,,
23051675,"October 27, 2023 2:27 PM",5,"October 27, 2023 2:38 PM",616,1,,1
23049805,"October 27, 2023 1:24 PM",5,"October 27, 2023 1:34 PM",575,1,,
23049801,"October 27, 2023 1:24 PM",5,"October 27, 2023 1:24 PM",,,,
23049294,"October 27, 2023 1:09 PM",5,"October 27, 2023 1:37 PM",1669,1,,
23047579,"October 27, 2023 12:12 PM",5,"October 27, 2023 2:23 PM",7852,5,,1
23047453,"October 27, 2023 12:09 PM",5,"October 27, 2023 12:16 PM",399,2,,1
23047155,"October 27, 2023 12:01 PM",5,"October 27, 2023 12:01 PM",34,1,,
23047133,"October 27, 2023 12:00 PM",5,"October 27, 2023 12:00 PM",,,,
23046428,"October 27, 2023 11:38 AM",5,"October 27, 2023 12:10 PM",1945,1,,1
23046322,"October 27, 2023 11:35 AM",5,"October 27, 2023 11:38 AM",161,1,,1
23045894,"October 27, 2023 11:23 AM",5,"October 27, 2023 11:26 AM",211,,,
23045237,"October 27, 2023 11:01 AM",5,"October 27, 2023 11:01 AM",,,,
23044820,"October 27, 2023 10:47 AM",5,"October 27, 2023 11:17 AM",1764,,,
23044067,"October 30, 2023 1:05 PM",1,"October 30, 2023 1:05 PM",,,,
23043916,"October 27, 2023 10:14 AM",5,"October 27, 2023 10:14 AM",,,,
23042962,"October 27, 2023 9:44 AM",5,"October 27, 2023 9:44 AM",,,,
23042149,"October 27, 2023 9:02 AM",5,"October 27, 2023 9:11 AM",511,1,,1
23042145,"October 27, 2023 9:02 AM",5,"October 27, 2023 9:16 AM",858,2,,
23042143,"October 27, 2023 9:02 AM",5,"October 27, 2023 9:19 AM",1032,2,,1
23041994,"October 27, 2023 8:46 AM",5,"October 27, 2023 8:46 AM",,,,
23041898,"October 27, 2023 8:35 AM",5,"October 27, 2023 8:42 AM",432,1,,
23041688,"October 27, 2023 8:05 AM",5,"October 27, 2023 8:05 AM",,,,
23036118,"October 26, 2023 10:41 PM",4,"October 26, 2023 10:42 PM",74,1,,1
23035928,"October 26, 2023 10:28 PM",4,"October 26, 2023 10:28 PM",,,,
23035585,"October 26, 2023 10:08 PM",4,"October 26, 2023 10:09 PM",56,1,,
23035221,"October 26, 2023 9:48 PM",4,"October 26, 2023 9:48 PM",,,,
23034721,"October 26, 2023 9:20 PM",4,"October 26, 2023 9:20 PM",,,,
23034315,"October 26, 2023 8:59 PM",4,"October 26, 2023 8:59 PM",,,,
23032752,"October 26, 2023 7:39 PM",4,"October 26, 2023 7:42 PM",156,1,,1
23032717,"October 26, 2023 7:38 PM",4,"October 27, 2023 9:43 AM",50741,2,,
23031144,"October 26, 2023 6:22 PM",4,"October 26, 2023 6:22 PM",,,,
23030925,"October 26, 2023 6:13 PM",4,"October 26, 2023 6:14 PM",75,1,,
23030145,"October 26, 2023 5:39 PM",4,"October 26, 2023 5:40 PM",77,2,1,
23029431,"October 26, 2023 5:14 PM",4,"October 26, 2023 5:14 PM",37,,,
23029250,"October 26, 2023 5:05 PM",4,"October 26, 2023 5:05 PM",,,,
23029226,"October 26, 2023 5:04 PM",4,"October 26, 2023 5:04 PM",,,,
23028156,"October 26, 2023 4:27 PM",4,"October 26, 2023 4:33 PM",365,2,,
23028050,"October 26, 2023 4:24 PM",4,"October 26, 2023 4:24 PM",,,,
23027910,"October 26, 2023 4:20 PM",4,"October 26, 2023 4:20 PM",20,,,
23027768,"October 26, 2023 4:14 PM",4,"October 26, 2023 4:33 PM",1091,2,,1
23026852,"October 26, 2023 3:47 PM",4,"October 26, 2023 3:58 PM",677,1,,1
23026691,"October 26, 2023 3:41 PM",4,"October 26, 2023 3:54 PM",743,1,,1
23026468,"October 26, 2023 3:35 PM",4,"October 26, 2023 3:36 PM",63,1,,
23026310,"October 26, 2023 3:30 PM",4,"October 26, 2023 3:36 PM",330,1,,
23024920,"October 26, 2023 2:49 PM",4,"October 26, 2023 2:49 PM",17,1,,
23024909,"October 26, 2023 2:48 PM",4,"October 26, 2023 2:48 PM",,,,
23024508,"October 26, 2023 2:37 PM",4,"October 26, 2023 2:37 PM",13,,,
23024196,"October 26, 2023 2:28 PM",4,"October 26, 2023 3:02 PM",2076,2,,
23023987,"October 26, 2023 2:22 PM",4,"October 26, 2023 2:32 PM",603,4,1,
23023844,"October 26, 2023 2:18 PM",4,"October 26, 2023 2:18 PM",20,,,
23023258,"October 26, 2023 2:01 PM",4,"October 26, 2023 2:01 PM",24,1,,
23022405,"October 26, 2023 1:37 PM",4,"October 26, 2023 1:48 PM",642,1,,
23022352,"October 26, 2023 1:36 PM",4,"October 26, 2023 1:36 PM",,,,
23022245,"October 26, 2023 1:32 PM",4,"October 26, 2023 1:38 PM",347,2,,1
23022102,"October 26, 2023 1:36 PM",4,"October 26, 2023 1:36 PM",,,,
23022040,"October 26, 2023 1:26 PM",4,"October 26, 2023 1:26 PM",,,,
23021870,"October 26, 2023 1:21 PM",4,"October 26, 2023 1:21 PM",,,,
23021657,"October 26, 2023 1:16 PM",4,"October 26, 2023 1:18 PM",109,2,,
23021330,"October 26, 2023 1:07 PM",4,"October 26, 2023 1:29 PM",1316,3,,
23021140,"October 26, 2023 1:01 PM",4,"October 26, 2023 1:02 PM",43,1,,
23020754,"October 26, 2023 12:52 PM",4,"October 26, 2023 1:37 PM",2714,1,,
23020665,"October 26, 2023 12:50 PM",4,"October 26, 2023 12:50 PM",16,,,
23020632,"October 26, 2023 12:49 PM",4,"October 26, 2023 12:49 PM",,,,
23020052,"October 26, 2023 12:33 PM",4,"October 26, 2023 12:33 PM",,,,
23019987,"October 26, 2023 12:31 PM",4,"October 26, 2023 4:37 PM",14762,1,,
23019260,"October 26, 2023 12:12 PM",4,"October 26, 2023 12:15 PM",226,1,1,
23019257,"October 26, 2023 12:11 PM",4,"October 26, 2023 12:11 PM",,,,
23019208,"October 26, 2023 12:10 PM",4,"October 26, 2023 12:11 PM",30,1,1,
23019043,"October 26, 2023 12:06 PM",4,"October 26, 2023 12:07 PM",54,1,,
23018688,"October 26, 2023 11:56 AM",4,"October 26, 2023 11:56 AM",29,,,
23018685,"October 26, 2023 11:56 AM",4,"October 26, 2023 11:56 AM",,,,
23018683,"October 26, 2023 11:55 AM",4,"October 26, 2023 11:55 AM",,,,
23017669,"October 26, 2023 11:28 AM",4,"October 26, 2023 11:33 AM",304,2,,
23017231,"October 26, 2023 11:16 AM",4,"October 26, 2023 11:57 AM",2452,1,,
23017162,"October 26, 2023 11:14 AM",4,"October 26, 2023 11:14 AM",,,,
23016827,"October 26, 2023 11:04 AM",4,"October 26, 2023 11:05 AM",5,1,,
23016715,"October 26, 2023 11:01 AM",4,"October 26, 2023 11:14 AM",773,,,
23016327,"October 26, 2023 10:51 AM",4,"October 26, 2023 11:04 AM",796,1,,1
23016274,"October 26, 2023 10:50 AM",4,"October 26, 2023 10:50 AM",,,,
23015860,"October 26, 2023 10:37 AM",4,"October 26, 2023 10:42 AM",284,1,,
23015321,"October 26, 2023 10:18 AM",4,"October 26, 2023 10:36 AM",1041,1,,1
23015250,"October 26, 2023 10:24 AM",4,"October 26, 2023 10:24 AM",,,,
23015132,"October 26, 2023 10:12 AM",4,"October 26, 2023 10:13 AM",6,,,
23014688,"October 26, 2023 9:57 AM",4,"October 26, 2023 10:10 AM",803,1,,1
23014674,"October 26, 2023 9:57 AM",4,"October 26, 2023 10:03 AM",415,2,,
23014512,"October 26, 2023 9:51 AM",4,"October 26, 2023 10:27 AM",2169,1,,1
23013526,"October 26, 2023 9:15 AM",4,"October 26, 2023 9:16 AM",19,,,
23012593,"October 26, 2023 8:31 AM",4,"October 26, 2023 8:32 AM",68,1,,
23012568,"October 26, 2023 8:30 AM",4,"October 26, 2023 8:51 AM",1314,1,1,
23012408,"October 26, 2023 8:20 AM",4,"October 26, 2023 8:20 AM",,,,
23012366,"October 26, 2023 8:17 AM",4,"October 26, 2023 8:25 AM",505,2,,1
23011674,"October 26, 2023 7:27 AM",4,"October 26, 2023 7:28 AM",41,1,,
23011516,"October 26, 2023 7:12 AM",4,"October 26, 2023 7:12 AM",,,,
23008542,"October 26, 2023 2:06 AM",4,"October 26, 2023 2:06 AM",,,,
23007354,"October 26, 2023 12:23 AM",3,"October 26, 2023 12:23 AM",,,,
23007285,"October 26, 2023 12:18 AM",3,"October 26, 2023 12:20 AM",167,2,,
23006116,"October 25, 2023 11:03 PM",3,"October 25, 2023 11:04 PM",82,2,1,1
23004871,"October 25, 2023 9:57 PM",3,"October 25, 2023 9:57 PM",41,1,,1
23003714,"October 25, 2023 9:00 PM",3,"October 25, 2023 9:00 PM",,,,
23003014,"October 25, 2023 8:29 PM",3,"October 25, 2023 8:29 PM",,,,
23001177,"October 25, 2023 7:11 PM",3,"October 25, 2023 7:11 PM",20,1,,
23001095,"October 25, 2023 7:07 PM",3,"October 25, 2023 7:10 PM",136,2,,2
23000858,"October 25, 2023 6:57 PM",3,"October 25, 2023 6:57 PM",,,,
23000807,"October 25, 2023 6:54 PM",3,"October 25, 2023 6:54 PM",,,,
23000634,"October 25, 2023 6:47 PM",3,"October 25, 2023 6:48 PM",20,1,,
23000456,"October 25, 2023 6:39 PM",3,"October 25, 2023 6:39 PM",,,,
22999669,"October 25, 2023 6:06 PM",3,"October 25, 2023 6:06 PM",,,,
22999000,"October 25, 2023 5:41 PM",3,"October 25, 2023 5:48 PM",448,1,,1
22998960,"October 25, 2023 5:39 PM",3,"October 25, 2023 5:39 PM",,,,
22998435,"October 25, 2023 5:20 PM",3,"October 25, 2023 5:20 PM",17,1,,
22997358,"October 25, 2023 5:05 PM",3,"October 25, 2023 5:05 PM",41,1,,
22997005,"October 25, 2023 4:53 PM",3,"October 25, 2023 4:58 PM",281,2,,
22996739,"October 25, 2023 4:44 PM",3,"October 25, 2023 4:44 PM",8,1,,
22996614,"October 25, 2023 4:40 PM",3,"October 25, 2023 4:51 PM",655,1,,
22995836,"October 25, 2023 4:16 PM",3,"October 25, 2023 4:16 PM",13,,,
22995670,"October 25, 2023 4:11 PM",3,"October 25, 2023 4:17 PM",374,1,,1
22995462,"October 25, 2023 4:04 PM",3,"October 25, 2023 4:04 PM",,,,
22990934,"October 25, 2023 3:46 PM",3,"October 25, 2023 3:46 PM",,,,
22990891,"October 25, 2023 3:44 PM",3,"October 25, 2023 3:55 PM",606,1,,1
22990159,"October 25, 2023 3:37 PM",3,"October 25, 2023 3:37 PM",,,,
22988490,"October 25, 2023 3:21 PM",3,"October 25, 2023 3:22 PM",30,,,
